scenario,year,index,total_change,quantity_effect,cohort_effect,interaction_effect,quantity_share_pct,cohort_share_pct,interaction_share_pct
SSP1,2015,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SSP1,2020,102.8654,2.8654,4.0527,-0.7139,0.0139,84.7759,14.9328,0.2913
SSP1,2025,108.9244,8.9244,12.0996,-1.5111,-0.1563,87.8887,10.9763,1.1350
SSP1,2030,110.2017,10.2017,14.3613,-2.1143,-0.3305,85.4529,12.5804,1.9668
SSP1,2035,102.9812,2.9812,6.6438,-2.9495,-0.2223,67.6861,30.0492,2.2647
SSP1,2040,95.7470,-4.2530,-0.4871,-4.8759,0.3966,8.4572,84.6575,6.8854
SSP1,2045,91.1406,-8.8594,-4.9235,-6.4498,1.0463,39.6428,51.9327,8.4245
SSP1,2050,84.1530,-15.8470,-12.5516,-7.5028,1.5864,57.9996,34.6697,7.3308
SSP2,2015,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SSP2,2020,107.1872,7.1872,9.4920,-0.7428,-0.0209,92.5541,7.2425,0.2035
SSP2,2025,118.7139,18.7139,24.6147,-1.5700,-0.3325,92.8256,5.9205,1.2538
SSP2,2030,125.8378,25.8378,34.2634,-2.1948,-0.7251,92.1472,5.9027,1.9500
SSP2,2035,123.0684,23.0684,31.9504,-3.0622,-0.9205,88.9163,8.5219,2.5617
SSP2,2040,119.8135,19.8135,29.9502,-5.0655,-0.8729,83.4531,14.1146,2.4323
SSP2,2045,119.6452,19.6452,31.4136,-6.7020,-0.9092,80.4965,17.1738,2.3297
SSP2,2050,115.7625,15.7625,27.8903,-7.7944,-1.0052,76.0163,21.2439,2.7398
SSP3,2015,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SSP3,2020,110.6816,10.6816,14.2227,-0.7690,-0.0519,94.5433,5.1119,0.3449
SSP3,2025,126.6544,26.6544,35.5335,-1.6233,-0.4869,94.3943,4.3123,1.2935
SSP3,2030,138.4637,38.4637,51.5461,-2.2677,-1.0665,93.9245,4.1322,1.9433
SSP3,2035,139.2001,39.2001,53.8017,-3.1641,-1.5274,91.9795,5.4093,2.6112
SSP3,2040,138.9724,38.9724,56.0212,-5.2367,-1.9880,88.5768,8.2799,3.1432
SSP3,2045,142.2565,42.2565,62.4722,-6.9300,-2.6607,86.6912,9.6166,3.6922
SSP3,2050,140.7087,40.7087,62.3052,-8.0582,-3.3316,84.5447,10.9345,4.5208
