# Age coefficients from Stata APC regression (extracted manually)
age_group,age_coefficient,age_multiplier
55-59,-0.0878445,0.9159
60-64,-0.0878445,0.9159
65-69,-0.1005541,0.9044
70-74,-0.1336863,0.8748
75-79,-0.1495826,0.8611
80+,-0.3121574,0.7319

# Cohort coefficients from Stata APC regression
cohort_group,birth_year_min,birth_year_max,cohort_coefficient,cohort_multiplier
0,1920,1929,0.0,1.0
1,1930,1934,-0.0294468,0.9710
2,1935,1939,-0.0754919,0.9273
3,1940,1944,-0.0669975,0.9352
4,1945,1949,-0.07379,0.9289
5,1950,1954,-0.0836869,0.9197
6,1955,1959,-0.0897881,0.9142
7,1960,1964,-0.1042494,0.9010
8,1965,1969,-0.1046866,0.9006
9,1970,1974,-0.1124531,0.8937
10,1975,1979,-0.1127335,0.8934
11,1980,1984,-0.1278901,0.8801
12,1985,1999,-0.1679542,0.8455
